iter,firing_rate,mean_abs_dW
0,1.56249996052793e-06,0.3482576906681061
1,1.302083330045889e-08,0.0027053249068558216
2,0.0,3.7354991491156397e-06
3,0.0,3.7280026390362764e-06
4,0.0,3.7205434182396857e-06
5,0.0,3.7131032968318323e-06
6,0.0,3.7056952351122163e-06
7,0.0,3.6982737583457492e-06
8,0.0,3.690866151373484e-06
9,0.0,3.6834960610576672e-06
10,0.0,3.6761164210474817e-06
11,0.0,3.6687647479993757e-06
12,0.0,3.661422397271963e-06
13,0.0,3.6540986911859363e-06
14,0.0,3.6468081816565245e-06
15,0.0,3.6395083498064196e-06
16,0.0,3.632240577644552e-06
17,0.0,3.6249500681151403e-06
18,0.0,3.6177248148305807e-06
19,0.0,3.6104813716519857e-06
20,0.0,3.603242248573224e-06
21,0.0,3.596026090235682e-06
22,0.0,3.588862000469817e-06
23,0.0,3.5816738090943545e-06
24,0.0,3.574500397007796e-06
25,0.0,3.567373369151028e-06
26,0.0,3.560246568667935e-06
27,0.0,3.5531381854525534e-06
28,0.0,3.5460111575957853e-06
29,0.0,3.5389359709370183e-06
30,0.0,3.5318464597366983e-06
31,0.0,3.5247805953986244e-06
32,0.0,3.5177140489395242e-06
33,0.0,3.510685473884223e-06
34,0.0,3.503666221149615e-06
35,0.0,3.4966656130563933e-06
36,0.0,3.489683649604558e-06
37,0.0,3.4826789487851784e-06
38,0.0,3.4757342746161157e-06
39,0.0,3.468803924988606e-06
40,0.0,3.461826736383955e-06
41,0.0,3.454887064435752e-06
42,0.0,3.448012876106077e-06
43,0.0,3.4411011711199535e-06
44,0.0,3.4342269827902783e-06
45,0.0,3.427371211728314e-06
46,0.0,3.420464963710401e-06
47,0.0,3.4136464819312096e-06
48,0.0,3.4068145851051668e-06
49,0.0,3.4000195228145458e-06
50,0.0,3.3932155929505825e-06
51,0.0,3.3864303077280056e-06
52,0.0,3.379672989467508e-06
53,0.0,3.3729202186805196e-06
54,0.0,3.3661542602203554e-06
55,0.0,3.359401489433367e-06
56,0.0,3.3527046525705373e-06
57,0.0,3.3460039503552252e-06
58,0.0,3.339326212881133e-06
59,0.0,3.3326300581393298e-06
60,0.0,3.3259846077271504e-06
61,0.0,3.3193075523740845e-06
62,0.0,3.312667104182765e-06
63,0.0,3.3060407531593228e-06
64,0.0,3.299419176983065e-06
65,0.0,3.2928305699897464e-06
66,0.0,3.2862601528904634e-06
67,0.0,3.2796949653857155e-06
68,0.0,3.2731015835452126e-06
69,0.0,3.2665270737197716e-06
70,0.0,3.2600689792161575e-06
71,0.0,3.253531758673489e-06
72,0.0,3.2469897632836364e-06
73,0.0,3.240513478885987e-06
74,0.0,3.2340321922674775e-06
75,0.0,3.227565230190521e-06
76,0.0,3.2211310099228285e-06
77,0.0,3.2146774628927233e-06
78,0.0,3.2082432426250307e-06
79,0.0,3.2018183446780313e-06
80,0.0,3.195403223799076e-06
81,0.0,3.1890060654404806e-06
82,0.0,3.1826557460590266e-06
83,0.0,3.1762731396156596e-06
84,0.0,3.1699228202342056e-06
85,0.0,3.163605470035691e-06
86,0.0,3.157274250042974e-06
87,0.0,3.1509616746916436e-06
88,0.0,3.1446252251043916e-06
89,0.0,3.1383456189360004e-06
90,0.0,3.1321076221502153e-06
91,0.0,3.1257995942723937e-06
92,0.0,3.1195527299132664e-06
93,0.0,3.1133240554481745e-06
94,0.0,3.1070865134097403e-06
95,0.0,3.1008994483272545e-06
96,0.0,3.0946621336624958e-06
97,0.0,3.088517587457318e-06
98,0.0,3.0823034649074543e-06
99,0.0,3.0761589187022764e-06
100,0.0,3.070015054618125e-06
101,0.0,3.0638755106338067e-06
102,0.0,3.0577682537114015e-06
103,0.0,3.0516384867951274e-06
104,0.0,3.0455364594672574e-06
105,0.0,3.0394339773920365e-06
106,0.0,3.033341499758535e-06
107,0.0,3.0273047286755173e-06
108,0.0,3.0212120236683404e-06
109,0.0,3.0151945793477353e-06
110,0.0,3.0091439384705154e-06
111,0.0,3.0031305868760683e-06
112,0.0,2.997140882143867e-06
113,0.0,2.991132078022929e-06
114,0.0,2.985147148137912e-06
115,0.0,2.9791949600621592e-06
116,0.0,2.973228674818529e-06
117,0.0,2.9672669370484073e-06
118,0.0,2.961370455523138e-06
119,0.0,2.9553996228059987e-06
120,0.0,2.949517238448607e-06
121,0.0,2.9436398563120747e-06
122,0.0,2.9377249575190945e-06
123,0.0,2.931838253061869e-06
124,0.0,2.9259745133458637e-06
125,0.0,2.9201344204921043e-06
126,0.0,2.914285232691327e-06
127,0.0,2.908449914684752e-06
128,0.0,2.9026471111137653e-06
129,0.0,2.896844534916454e-06
130,0.0,2.8910417313454673e-06
131,0.0,2.8852768991782796e-06
132,0.0,2.879474095607293e-06
133,0.0,2.873723133234307e-06
134,0.0,2.867986268029199e-06
135,0.0,2.862267365344451e-06
136,0.0,2.8565305001393426e-06
137,0.0,2.850793407560559e-06
138,0.0,2.84511247627961e-06
139,0.0,2.8394313176249852e-06
140,0.0,2.8337321964500006e-06
141,0.0,2.8280883270781487e-06
142,0.0,2.822435362759279e-06
143,0.0,2.816791948134778e-06
144,0.0,2.8111389838159084e-06
145,0.0,2.80553285847418e-06
146,0.0,2.799908315864741e-06
147,0.0,2.7943303848587675e-06
148,0.0,2.7887383566849167e-06
149,0.0,2.783160198305268e-06
150,0.0,2.7775822672992945e-06
151,0.0,2.7720041089196457e-06
152,0.0,2.7664825665851822e-06
153,0.0,2.7609557946561836e-06
154,0.0,2.755424930001027e-06
155,0.0,2.7499213501869235e-06
156,0.0,2.74439980785246e-06
157,0.0,2.738915327427094e-06
158,0.0,2.7334265269018942e-06
159,0.0,2.727988658079994e-06
160,0.0,2.7225230496696895e-06
161,0.0,2.717071311053587e-06
162,0.0,2.7116527689940995e-06
163,0.0,2.7062289973400766e-06
164,0.0,2.7008190954802558e-06
165,0.0,2.6954098757414613e-06
166,0.0,2.690014525796869e-06
167,0.0,2.684651235540514e-06
168,0.0,2.6792747576109832e-06
169,0.0,2.673911922101979e-06
170,0.0,2.6685586362873437e-06
171,0.0,2.6632333174347878e-06
172,0.0,2.6578939014143543e-06
173,0.0,2.6526015517447377e-06
174,0.0,2.647294877533568e-06
175,0.0,2.641983883222565e-06
176,0.0,2.636705175973475e-06
177,0.0,2.6314128263038583e-06
178,0.0,2.626181185405585e-06
179,0.0,2.620916347950697e-06
180,0.0,2.615670609884546e-06
181,0.0,2.6104296466655796e-06
182,0.0,2.6052305202028947e-06
183,0.0,2.5999993340519723e-06
184,0.0,2.5948188522306737e-06
185,0.0,2.5896197257679887e-06
186,0.0,2.584467893029796e-06
187,0.0,2.5792639917199267e-06
188,0.0,2.5740841920196544e-06
189,0.0,2.5689782887639012e-06
190,0.0,2.5638075840106467e-06
191,0.0,2.5587021355022443e-06
192,0.0,2.55358281719964e-06
193,0.0,2.5484773686912376e-06
194,0.0,2.543381469877204e-06
195,0.0,2.5382853436894948e-06
196,0.0,2.533208316890523e-06
197,0.0,2.528172899474157e-06
198,0.0,2.5230961000488605e-06
199,0.0,2.5180324882967398e-06
200,0.0,2.513016170269111e-06
201,0.0,2.507985755073605e-06
202,0.0,2.5029735297721345e-06
203,0.0,2.4979806312330766e-06
204,0.0,2.492968860678957e-06
205,0.0,2.4879757347662235e-06
206,0.0,2.483001480868552e-06
207,0.0,2.478046098985942e-06
208,0.0,2.4730857148824725e-06
209,0.0,2.468134653099696e-06
210,0.0,2.4631885935377795e-06
211,0.0,2.4582793685112847e-06
212,0.0,2.4533474061172456e-06
213,0.0,2.448443410685286e-06
214,0.0,2.4435441901005106e-06
215,0.0,2.438654064462753e-06
216,0.0,2.433791451039724e-06
217,0.0,2.4289392968057655e-06
218,0.0,2.4240864604507806e-06
219,0.0,2.4192104319809005e-06
220,0.0,2.4143810151144862e-06
221,0.0,2.409552052995423e-06
222,0.0,2.4047365059232106e-06
223,0.0,2.399930963292718e-06
224,0.0,2.3951106413733214e-06
225,0.0,2.3903423880256014e-06
226,0.0,2.385560037510004e-06
227,0.0,2.3807915567886084e-06
228,0.0,2.3760371732350904e-06
229,0.0,2.3712689198873704e-06
230,0.0,2.366542503295932e-06
231,0.0,2.3617972146894317e-06
232,0.0,2.357052153456607e-06
233,0.0,2.352345063627581e-06
234,0.0,2.347665031265933e-06
235,0.0,2.34296180678939e-06
236,0.0,2.3382779090752592e-06
237,0.0,2.3335892365139443e-06
238,0.0,2.3289373984880513e-06
239,0.0,2.3242673705681227e-06
240,0.0,2.3196159872895805e-06
241,0.0,2.3149739263317315e-06
242,0.0,2.3103457351680845e-06
243,0.0,2.305722318851622e-06
244,0.0,2.3011089069768786e-06
245,0.0,2.2965227799431887e-06
246,0.0,2.291917780894437e-06
247,0.0,2.287336883455282e-06
248,0.0,2.2827739485364873e-06
249,0.0,2.27820714826521e-06
250,0.0,2.2736580831406172e-06
251,0.0,2.2690865080221556e-06
